"Rank","Institution Name","State","Average Debt Per Borrower"
"226","Bryn Mawr College","PA","$25,682"
"227","The University of Toledo","OH","$25,708"
"228","Georgetown University","DC","$25,726"
"229","University of Oregon","OR","$25,729"
"230","Mount Mercy University","IA","$25,739"
"231","Oklahoma City University","OK","$25,760"
"232","Middle Tennessee State University","TN","$25,774"
"233","University of Arkansas","AR","$25,778"
"234","State University of New York at New Paltz","NY","$25,800"
"235","University of North Texas","TX","$25,808"
"236","DePauw University","IN","$25,813"
"237","Texas State University","TX","$25,853"
"238","St. Joseph's College, New York","NY","$25,873"
"239","Louisiana College","LA","$25,885"
"240","Marymount California University","CA","$25,905"
"241","University of Michigan&-Dearborn","MI","$25,909"
"242","Trinity College","CT","$25,958"
"243","University at Buffalo, the State University of New York","NY","$26,062"
"244","University of Minnesota, Twin Cities Campus","MN","$26,262"
"245","Kenyon College","OH","$26,271"
"246","Centre College","KY","$26,313"
"247","The University of North Carolina Wilmington","NC","$26,315"
"248","Mercy College","NY","$26,317"
"249","Lafayette College","PA","$26,341"
"250","University of Dubuque","IA","$26,346"
